time,bpFront,bpBack,rawAccelX,rawAccelY,rawAccelZ,noGravAccelX,noGravAccelY,noGravAccelZ,worldAccelY,worldAccelX,worldAccelZ,yaw,pitch,roll,gravityX,gravityY,gravityZ,quaternionX,quaternionY,quaternionZ,quaternionW
1001,183,117,20,374,16460,125,44,8275,247,-274,8267,-0.057588536,-0.012878499,0.040190905,-0.012877367,0.040174335,0.999049425,0.019897461,0.007019043,0.028930664,0.999328613
1101,203,135,118,544,16234,214,222,8049,313,-76,8047,-0.057739638,-0.011803044,0.039305452,-0.011801817,0.039289422,0.99907732,0.019470215,0.006469727,0.028991699,0.999328613
1201,233,179,130,554,16362,219,238,8177,312,-59,8176,-0.057762302,-0.010970453,0.038548451,-0.010969132,0.038532719,0.999096692,0.019104004,0.00604248,0.028991699,0.999328613
1301,198,154,48,496,16386,130,185,8201,219,-113,8199,-0.057785656,-0.010012264,0.037909899,-0.01001092,0.037894465,0.999113977,0.018798828,0.005554199,0.028991699,0.999328613
1401,204,164,48,572,16300,123,267,8114,199,-23,8116,-0.057796463,-0.009179117,0.037150633,-0.009178862,0.037140012,0.999254167,0.018432617,0.005126953,0.028991699,0.999389648
1501,208,95,22,452,16378,90,151,8191,166,-139,8189,-0.05793732,-0.008337119,0.036638156,-0.008336827,0.036627829,0.999270797,0.018188477,0.004699707,0.029052734,0.999389648
1601,178,105,-18,426,16274,44,131,8087,114,-153,8085,-0.057954531,-0.007622946,0.036006752,-0.007622585,0.035996571,0.999285161,0.017883301,0.004333496,0.029052734,0.999389648
1701,167,120,12,528,16316,68,236,8129,127,-46,8131,-0.05796982,-0.00690163,0.035619367,-0.006901249,0.035609305,0.999294698,0.017700195,0.003967285,0.029052734,0.999389648
1801,207,123,102,488,16346,153,200,8159,209,-74,8159,-0.057983387,-0.006305865,0.035113543,-0.006305456,0.035103589,0.999305606,0.017456055,0.003662109,0.029052734,0.999389648
1901,152,161,66,478,16318,111,194,8131,161,-78,8131,-0.057998739,-0.005588083,0.034604166,-0.005587667,0.034594327,0.999316633,0.017211914,0.003295898,0.029052734,0.999389648
2001,198,190,18,486,16378,59,204,8191,105,-71,8192,-0.058008362,-0.005107182,0.034345921,-0.005106777,0.03433615,0.999322355,0.017089844,0.003051758,0.029052734,0.999389648
2101,244,98,8,456,16300,45,179,8113,87,-89,8113,-0.058141414,-0.004634879,0.033721879,-0.004634477,0.033712327,0.999337733,0.016784668,0.002807617,0.02911377,0.999389648
2201,231,160,38,528,16330,72,254,8143,106,-11,8145,-0.058151249,-0.004157544,0.033341605,-0.004157156,0.033332124,0.999345124,0.016601563,0.002563477,0.02911377,0.999389648
2301,181,107,48,436,16414,79,166,8227,116,-98,8226,-0.058158889,-0.00380221,0.032964896,-0.00380183,0.032955475,0.999352098,0.016418457,0.002380371,0.02911377,0.999389648
2401,180,101,-4,402,16430,23,134,8243,58,-132,8242,-0.058167879,-0.003321301,0.032706633,-0.003320955,0.032697268,0.999357164,0.016296387,0.00213623,0.02911377,0.999389648
2501,166,148,68,436,16344,92,170,8157,121,-87,8157,-0.058174778,-0.002962397,0.032451935,-0.002962075,0.032442614,0.999361873,0.016174316,0.001953125,0.02911377,0.999389648
2601,201,162,94,456,16436,115,193,8249,140,-63,8249,-0.058303844,-0.002605088,0.032075327,-0.002604797,0.032066181,0.999371946,0.015991211,0.00177002,0.029174805,0.999389648
2701,193,134,60,472,16362,78,211,8175,99,-43,8176,-0.058310531,-0.002246193,0.03182061,-0.002245933,0.031811506,0.999376476,0.015869141,0.001586914,0.029174805,0.999389648
2801,205,155,14,460,16460,29,201,8273,48,-57,8274,-0.058195308,-0.001889223,0.03156583,-0.00188899,0.031556658,0.99937737,0.01574707,0.001403809,0.02911377,0.999389648
2901,194,169,40,436,16312,52,179,8124,68,-71,8125,-0.058191162,-0.001530268,0.031309221,-0.00153026,0.031303912,0.999503672,0.015625,0.001220703,0.02911377,0.999450684
3001,175,124,30,406,16374,40,151,8186,56,-100,8186,-0.058317479,-0.001291476,0.031058125,-0.001291469,0.031052932,0.999511302,0.01550293,0.001098633,0.029174805,0.999450684
3101,241,135,-6,512,16378,2,258,8189,10,5,8192,-0.058321591,-0.001051032,0.030928995,-0.001051024,0.030923806,0.999513388,0.015441895,0.000976563,0.029174805,0.999450684
3201,173,144,-32,466,16272,-24,214,8083,-14,-34,8085,-0.058324136,-0.000936154,0.030681422,-0.000936143,0.030676238,0.999517322,0.015319824,0.000915527,0.029174805,0.999450684
3301,197,128,68,504,16406,73,253,8217,78,6,8220,-0.058449987,-0.000693842,0.030552279,-0.000693835,0.030547209,0.999522924,0.015258789,0.000793457,0.02923584,0.999450684
3401,194,147,-64,380,16300,-59,130,8111,-47,-119,8111,-0.058452152,-0.000575408,0.030426705,-0.000575401,0.030421637,0.999524891,0.015197754,0.000732422,0.02923584,0.999450684
3501,177,99,26,554,16378,28,305,8189,27,58,8194,-0.058456145,-0.000334968,0.030297561,-0.000334963,0.030292496,0.999526918,0.015136719,0.000610352,0.02923584,0.999450684
3601,191,127,-40,528,16314,-39,281,8125,-40,34,8129,-0.058460385,-9.80961E-05,0.030046411,-9.80943E-05,0.030041352,0.999530733,0.015014648,0.000488281,0.02923584,0.999450684
3701,211,117,86,462,16296,86,216,8107,88,-21,8109,-0.058460653,-0.000101665,0.029924404,-0.000101663,0.029919349,0.99953258,0.014953613,0.000488281,0.02923584,0.999450684
3801,204,121,54,456,16330,52,210,8141,52,-30,8143,-0.058586098,0.000144171,0.029917205,0.000144169,0.029912256,0.999536276,0.014953613,0.000366211,0.029296875,0.999450684
3901,181,118,28,468,16362,25,223,8173,24,-19,8175,-0.058588173,0.0002626,0.029791625,0.000262596,0.029786676,0.999538064,0.014892578,0.000305176,0.029296875,0.999450684
4001,224,109,124,422,16304,120,178,8115,120,-56,8116,-0.058589987,0.000384606,0.029788049,0.000384599,0.0297831,0.999538124,0.014892578,0.000244141,0.029296875,0.999450684
4101,212,163,14,426,16326,9,183,8137,8,-58,8138,-0.058592036,0.000503036,0.029662469,0.000503026,0.02965752,0.999539912,0.014831543,0.000183105,0.029296875,0.999450684
4201,183,146,0,542,16386,-5,299,8197,-13,55,8202,-0.058715641,0.00062685,0.029658802,0.00062684,0.029653959,0.999543548,0.014831543,0.00012207,0.02935791,0.999450684
4301,200,181,16,482,16396,10,239,8207,5,-4,8210,-0.058715641,0.00062685,0.029658802,0.00062684,0.029653959,0.999543548,0.014831543,0.00012207,0.02935791,0.999450684
4401,198,167,6,466,16386,0,223,8197,-3,-20,8199,-0.058715641,0.00062685,0.029658802,0.00062684,0.029653959,0.999543548,0.014831543,0.00012207,0.02935791,0.999450684
4501,163,160,-16,442,16370,-23,200,8181,-27,-43,8183,-0.058719471,0.000867278,0.029529629,0.000867262,0.029524788,0.999545395,0.014770508,0,0.02935791,0.999450684
4601,184,125,64,480,16366,56,238,8177,49,0,8180,-0.058719471,0.000867278,0.029529629,0.000867262,0.029524788,0.999545395,0.014770508,0,0.02935791,0.999450684
4701,224,133,6,474,16386,-1,233,8197,-7,-8,8200,-0.058719683,0.000863696,0.029407624,0.000863679,0.029402785,0.999547184,0.014709473,0,0.02935791,0.999450684
4801,204,118,76,462,16314,68,221,8125,61,-14,8127,-0.058719683,0.000863696,0.029407624,0.000863679,0.029402785,0.999547184,0.014709473,0,0.02935791,0.999450684
4901,155,126,6,430,16202,-1,190,8013,-5,-45,8014,-0.058598094,0.000858329,0.029285723,0.000858307,0.029280782,0.999545395,0.014648438,0,0.029296875,0.999450684
5001,219,114,24,396,16346,15,155,8157,11,-84,8157,-0.058599677,0.00098391,0.029404156,0.000983886,0.029399209,0.999543607,0.014709473,-6.10352E-05,0.029296875,0.999450684
5101,231,146,-24,456,16288,-32,216,8099,-38,-23,8101,-0.058599878,0.000980335,0.029282149,0.00098031,0.029277205,0.999545395,0.014648438,-6.10352E-05,0.029296875,0.999450684
5201,165,105,50,440,16316,41,200,8127,35,-36,8129,-0.058599878,0.000980335,0.029282149,0.00098031,0.029277205,0.999545395,0.014648438,-6.10352E-05,0.029296875,0.999450684
5301,154,108,34,488,16284,24,247,8095,14,9,8098,-0.058601469,0.001105916,0.02940058,0.00110589,0.029395632,0.999543607,0.014709473,-0.00012207,0.029296875,0.999450684
5401,204,126,-8,514,16312,-17,274,8123,-28,34,8127,-0.058601663,0.001102342,0.029278575,0.001102313,0.029273629,0.999545395,0.014648438,-0.00012207,0.029296875,0.999450684
5501,166,151,14,496,16272,5,255,8083,-3,17,8086,-0.058599677,0.00098391,0.029404156,0.000983886,0.029399209,0.999543607,0.014709473,-6.10352E-05,0.029296875,0.999450684
